SATZART;AGS;NAME;EWZ;EW_M;EW_W;EW_D;EW_A;ALTER_1;ALTER_2;ALTER_3;ALTER_4;ALTER_5
00;00;Deutschland;80 219 695;39 153 540;41 066 140;74 050 320;6 169 360;13 138 580;11 391 700;22 838 880;16 333 080;16 517 450
10;01;Schleswig-Holstein;2 800 119;1 360 530;1 439 590;2 683 670; 116 450; 477 010; 362 390; 790 060; 563 490; 607 170
20;010;Schleswig-Holstein (fiktiver Reg.-Bez.);2 800 119;1 360 530;1 439 590;2 683 670; 116 450; 477 010; 362 390; 790 060; 563 490; 607 170
40;01001;Flensburg, Stadt; 82 258; 40 660; 41 590; 77 140; 5 120; 12 150; 15 640; 22 130; 15 560; 16 770
50;010010000;Flensburg, Stadt; 82 258; 40 660; 41 590; 77 140; 5 120; 12 150; 15 640; 22 130; 15 560; 16 770
60;010010000000;Flensburg, Stadt; 82 258; 40 660; 41 590; 77 140; 5 120; 12 150; 15 640; 22 130; 15 560; 16 770
40;01002;Kiel, Landeshauptstadt; 235 782; 113 400; 122 380; 219 670; 16 120; 33 940; 49 130; 67 910; 41 730; 43 090
50;010020000;Kiel, Landeshauptstadt; 235 782; 113 400; 122 380; 219 670; 16 120; 33 940; 49 130; 67 910; 41 730; 43 090
60;010020000000;Kiel, Landeshauptstadt; 235 782; 113 400; 122 380; 219 670; 16 120; 33 940; 49 130; 67 910; 41 730; 43 090
40;01003;Lübeck, Hansestadt; 210 305; 99 880; 110 420; 197 390; 12 910; 31 590; 31 520; 58 380; 40 390; 48 420
50;010030000;Lübeck, Hansestadt; 210 305; 99 880; 110 420; 197 390; 12 910; 31 590; 31 520; 58 380; 40 390; 48 420
60;010030000000;Lübeck, Hansestadt; 210 305; 99 880; 110 420; 197 390; 12 910; 31 590; 31 520; 58 380; 40 390; 48 420
40;01004;Neumünster, Stadt; 77 249; 37 650; 39 600; 72 470; 4 780; 12 900; 11 320; 20 820; 15 250; 16 960
50;010040000;Neumünster, Stadt; 77 249; 37 650; 39 600; 72 470; 4 780; 12 900; 11 320; 20 820; 15 250; 16 960
60;010040000000;Neumünster, Stadt; 77 249; 37 650; 39 600; 72 470; 4 780; 12 900; 11 320; 20 820; 15 250; 16 960
40;01051;Dithmarschen; 133 900; 65 480; 68 420; 130 720; 3 180; 23 830; 16 270; 35 430; 27 750; 30 620
50;010510011;Brunsbüttel, Stadt; 12 834; 6 360; 6 470; 12 410;  430; 2 180; 1 610; 3 330; 2 880; 2 840
60;010510011011;Brunsbüttel, Stadt; 12 834; 6 360; 6 470; 12 410;  430; 2 180; 1 610; 3 330; 2 880; 2 840
50;010510044;Heide, Stadt; 20 768; 9 740; 11 030; 19 840;  930; 3 280; 3 350; 5 300; 3 980; 4 850
60;010510044044;Heide, Stadt; 20 768; 9 740; 11 030; 19 840;  930; 3 280; 3 350; 5 300; 3 980; 4 850
50;010515163;Burg-St. Michaelisdonn; 16 317; 8 036; 8 281; 16 084;  233; 3 145; 1 898; 4 348; 3 369; 3 557
60;010515163003;Averlak;  615;  309;  306;  603;  12;  112;  76;  174;  143;  110
60;010515163010;Brickeln;  208;  104;  105;  209;  0;  62;  18;  71;  25;  33
60;010515163012;Buchholz; 1 080;  546;  534; 1 068;  12;  253;  118;  306;  222;  181
